	Organization		Sponsorship Category		Years		Allocation																						
	Faces of African Muslims		SAG		2		$400																						
	Fashion and Student Trends		SAG		8		"$1,000"																						
	Fastpitch Softball at Berkeley		SAG		1		Sponsorship Only																						
	Fei Tian Dancers		SAG		16		$500																						
	Fellowship in Christ in Berkeley		SAG		14		"$1,100"																						
	Feminist Majority Leadership Alliance of Berkeley		SAG		1		$400																						
	Fiat Lux Scholars Association		SAG		3		Sponsorship Only																						
	Food Science and Tech at Cal		SAG		5		Sponsorship Only																						
	"Food, Equity, Entrepreneurship, & Development"		SAG		4		$400																						
	For Christ's Sake		SAG		1		$400																						
	Foresight Pre-Optometry Club		SAG		28		"$1,175"																						
	Friends of the Co-ops		SAG		87		"$10,000"																						
	"Future Business Leaders of America-Phi Beta Lambda, Inc."		SAG		14		"$4,100"																						
	Game Design and Development at Berkeley		SAG		1		$400																						
	Gaming at Berkeley		SAG		8		$850																						
	Gamma Rho Lambda		SAG		3		$500																						
	"Gamma Zeta Alpha Fraternity, Inc"		SAG		11		$685																						
	Gates Millennium Scholars Association		SAG		13		"$1,000"																						
	GenSex		SAG		3		$500																						
	Geological Association at Berkeley		SAG		4		$250																						
	Girls Teaching Girls to Code at Berkeley		SAG		2		$400																						
	Global Leadership Organization at Berkeley		SAG		1		$400																						
	Golden Women		SAG		3		$500																						
	Haas Undergraduate Black Business Association		SAG		12		$500																						
	Hellenic Student Association at Berkeley		SAG		2		$350																						
	"Hispanic Scholarship Fund - University of California, Berkeley Chapter"		SAG		3		$500																						
	Historical Fencing Club of Berkeley		SAG		2		Sponsorship Only																						
	Hong Kong Student Association		SAG		27		"$2,800"																						
	IDEA FACTORY		SAG		1		$205																						
	iGEM at Berkeley		SAG		2		$400																						
	Indian Students Association (ISA)		SAG		16		"$10,000"																						
	Interfaith Action Initiative		SAG		4		$500																						
	International Relations Council of Berkeley		SAG		3		$500																						
	International Students Association at Berkeley		SAG		19		"$2,137"																						
	International Undergraduate Student Ministry		SAG		1		$400																						
	InterVarsity Christian Fellowship		SAG		21		"$4,700"																						
	Iranian Students Cultural Organization		SAG		22		"$2,750"																						
	Irish Dancers of Berkeley		SAG		6		$500																						
	Ismailis at Berkeley		SAG		2		$400																						
	Italian Society at Berkeley		SAG		19		$960																						
	J Street U at Berkeley		SAG		1		$400																						
	Jain Students Association		SAG		3		$365																						
	Jericho!		SAG		3		$500																						
	Jewish Voice for Peace at Berkeley		SAG		1		$140																						
	Jugger at Berkeley		SAG		3		$500																						
	K-Popular at Berkeley		SAG		8		$400																						
	Kappa Alpha Pi Pre Law Fraternity		SAG		6		$775																						
	Kappa Gamma Delta		SAG		1		$100																						
	Kendo Club at Berkeley		SAG		4		$500																						
	Klesis		SAG		8		"$1,000"																						
	Koinonia		SAG		15		$750																						
	Kojobs at Berkeley		SAG		3		$500																						
	Korean American Student Association		SAG		38		"$17,000"																						
	Korean Christian Biblical and Theological Studies		SAG		1		$400																						
	Korean Performance Group		SAG		4		$250																						
	Korean Undergraduate Networking Association		SAG		12		$500																						
	Korean-American Scientists and Engineers Association		SAG		4		$500																						
	Latin American Leadership Society		SAG		6		$800																						
	Latinx Emerging in English		SAG		3		$500																						
	Latinx Pre-Law Society		SAG		6		$500																						
	Launchpad		SAG		3		Sponsorship Only																						
